CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/a2c/cartpole_a2c.py
MEM 289.464844 1706267888.4730
MEM 289.496094 1706267888.5751
MEM 289.796875 1706267888.6793
MEM 289.796875 1706267888.7826
MEM 289.804688 1706267888.8831
MEM 289.804688 1706267888.9847
MEM 289.804688 1706267889.0897
MEM 289.812500 1706267889.1905
MEM 289.812500 1706267889.2998
MEM 290.085938 1706267889.4001
MEM 290.136719 1706267889.5013
MEM 290.062500 1706267889.6017
MEM 290.062500 1706267889.7025
MEM 290.386719 1706267889.8027
MEM 290.507812 1706267889.9041
MEM 290.550781 1706267890.0075
MEM 290.972656 1706267890.1108
MEM 290.976562 1706267890.2124
MEM 290.996094 1706267890.3192
MEM 291.046875 1706267890.4210
MEM 291.351562 1706267890.5243
MEM 291.363281 1706267890.6266
MEM 291.363281 1706267890.7271
MEM 291.363281 1706267890.8277
MEM 291.363281 1706267890.9301
MEM 291.363281 1706267891.0747
MEM 291.363281 1706267891.1778
MEM 291.363281 1706267891.2825
MEM 291.460938 1706267891.3877
MEM 291.460938 1706267891.4948
MEM 291.460938 1706267891.5980
MEM 291.601562 1706267891.7024
MEM 291.601562 1706267891.8040
MEM 292.003906 1706267891.9092
MEM 292.003906 1706267892.0114
MEM 292.003906 1706267892.1158
MEM 292.140625 1706267892.2186
MEM 292.140625 1706267892.3208
MEM 292.496094 1706267892.4225
MEM 292.582031 1706267892.5266
MEM 292.582031 1706267892.6528
MEM 292.601562 1706267892.7531
MEM 293.031250 1706267892.8557
MEM 293.070312 1706267892.9610
MEM 293.472656 1706267893.0631
MEM 293.445312 1706267893.1639
MEM 293.460938 1706267893.2677
MEM 293.683594 1706267893.3728
MEM 293.683594 1706267893.4732
MEM 293.683594 1706267893.5777
MEM 293.722656 1706267893.6808
MEM 293.722656 1706267893.7853
MEM 293.722656 1706267893.8892
MEM 293.917969 1706267893.9904
MEM 293.917969 1706267894.0956
MEM 293.957031 1706267894.1972
MEM 294.230469 1706267894.3006
MEM 294.230469 1706267894.4010
MEM 294.589844 1706267894.5035
MEM 294.589844 1706267894.6040
MEM 294.707031 1706267894.7072
MEM 294.953125 1706267894.8097
MEM 294.953125 1706267894.9898
MEM 294.960938 1706267895.0945
MEM 295.300781 1706267895.1954
MEM 295.339844 1706267895.2981
MEM 295.792969 1706267895.4016
MEM 295.781250 1706267895.5043
MEM 295.800781 1706267895.6095
MEM 295.820312 1706267895.7147
MEM 295.820312 1706267895.8178
MEM 295.820312 1706267895.9230
MEM 295.851562 1706267896.0248
MEM 295.820312 1706267896.1298
MEM 295.820312 1706267896.2315
MEM 296.062500 1706267896.3367
MEM 296.062500 1706267896.4390
MEM 296.128906 1706267896.5394
MEM 296.128906 1706267896.6446
MEM 296.144531 1706267896.7481
MEM 296.503906 1706267896.8484
MEM 296.503906 1706267896.9491
MEM 296.531250 1706267897.0548
MEM 296.820312 1706267897.1866
MEM 296.820312 1706267897.2898
MEM 296.843750 1706267897.3918
MEM 297.132812 1706267897.4952
MEM 297.191406 1706267897.5982
MEM 297.722656 1706267897.7034
MEM 297.714844 1706267897.8037
MEM 297.738281 1706267897.9040
MEM 297.785156 1706267898.0048
MEM 297.738281 1706267898.1100
MEM 297.738281 1706267898.2110
MEM 297.781250 1706267898.3162
MEM 297.781250 1706267898.4178
MEM 298.105469 1706267898.5190
MEM 298.046875 1706267898.6240
MEM 298.078125 1706267898.7763
MEM 298.242188 1706267898.9004
MEM 298.210938 1706267899.0111
