CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/ga/cart_run_ga.py
MEM 266.269531 1706233123.8016
MEM 266.269531 1706233123.9068
MEM 266.273438 1706233124.0120
MEM 266.277344 1706233124.1127
MEM 266.277344 1706233124.2179
MEM 266.277344 1706233124.3191
MEM 266.277344 1706233124.4233
MEM 266.277344 1706233124.5235
MEM 266.277344 1706233124.6287
MEM 266.277344 1706233124.7339
MEM 266.281250 1706233124.8368
MEM 266.285156 1706233124.9420
MEM 266.285156 1706233125.0470
MEM 266.312500 1706233125.1489
MEM 266.312500 1706233125.2521
MEM 266.312500 1706233125.3535
MEM 266.312500 1706233125.4587
MEM 266.312500 1706233125.5639
MEM 266.312500 1706233125.6643
MEM 266.312500 1706233125.7695
MEM 266.312500 1706233125.8733
MEM 266.312500 1706233125.9786
MEM 266.312500 1706233126.0838
MEM 266.312500 1706233126.1869
MEM 266.312500 1706233126.2919
MEM 266.312500 1706233126.3949
MEM 266.312500 1706233126.4961
MEM 266.312500 1706233126.5997
MEM 266.312500 1706233126.7011
MEM 266.312500 1706233126.8039
MEM 266.312500 1706233126.9068
MEM 266.312500 1706233127.0095
MEM 266.312500 1706233127.1118
MEM 266.339844 1706233127.2129
MEM 266.339844 1706233127.3181
MEM 266.339844 1706233127.4192
MEM 266.339844 1706233127.5238
MEM 266.339844 1706233127.6290
MEM 266.339844 1706233127.7331
MEM 266.339844 1706233127.8382
MEM 266.339844 1706233127.9392
MEM 266.339844 1706233128.0397
MEM 266.339844 1706233128.1450
MEM 266.339844 1706233128.2469
MEM 266.339844 1706233128.3521
MEM 266.339844 1706233128.4563
MEM 266.339844 1706233128.5579
MEM 266.339844 1706233128.6586
MEM 266.339844 1706233128.7638
MEM 266.339844 1706233128.8690
MEM 266.339844 1706233128.9742
MEM 266.339844 1706233129.0774
MEM 266.339844 1706233129.1779
MEM 266.343750 1706233129.2831
MEM 266.343750 1706233129.3883
MEM 266.343750 1706233129.4935
MEM 266.406250 1706233129.5986
MEM 266.406250 1706233129.7015
MEM 266.410156 1706233129.8067
MEM 266.410156 1706233129.9084
MEM 266.414062 1706233130.0136
MEM 266.414062 1706233130.1188
MEM 266.414062 1706233130.2234
MEM 266.414062 1706233130.3270
MEM 266.414062 1706233130.4321
MEM 266.414062 1706233130.5370
MEM 266.414062 1706233130.6422
MEM 266.417969 1706233130.7475
MEM 266.417969 1706233130.8479
MEM 266.417969 1706233130.9531
MEM 266.417969 1706233131.0551
MEM 266.417969 1706233131.1603
MEM 266.417969 1706233131.2614
MEM 266.417969 1706233131.3666
MEM 266.417969 1706233131.4719
MEM 266.417969 1706233131.5769
MEM 266.421875 1706233131.6821
MEM 266.421875 1706233131.7870
MEM 266.421875 1706233131.8922
MEM 266.421875 1706233131.9948
MEM 266.421875 1706233132.1000
MEM 266.421875 1706233132.2019
MEM 266.421875 1706233132.3071
MEM 266.421875 1706233132.4080
MEM 266.421875 1706233132.5132
MEM 266.421875 1706233132.6184
MEM 266.421875 1706233132.7235
MEM 266.421875 1706233132.8286
MEM 266.421875 1706233132.9339
MEM 266.421875 1706233133.0370
MEM 266.421875 1706233133.1408
MEM 266.421875 1706233133.2460
MEM 266.421875 1706233133.3512
MEM 266.421875 1706233133.4533
MEM 266.421875 1706233133.5585
MEM 266.421875 1706233133.6637
MEM 266.421875 1706233133.7649
MEM 266.421875 1706233133.8701
MEM 266.421875 1706233133.9735
MEM 266.421875 1706233134.0737
MEM 266.421875 1706233134.1776
MEM 266.421875 1706233134.2794
MEM 266.421875 1706233134.3846
MEM 266.421875 1706233134.4871
MEM 266.421875 1706233134.5923
MEM 266.421875 1706233134.6948
MEM 266.421875 1706233134.8000
MEM 266.421875 1706233134.9022
MEM 266.421875 1706233135.0074
MEM 266.421875 1706233135.1126
MEM 266.421875 1706233135.2177
MEM 266.421875 1706233135.3229
MEM 266.421875 1706233135.4236
MEM 266.421875 1706233135.5238
MEM 266.421875 1706233135.6289
MEM 266.421875 1706233135.7341
MEM 266.421875 1706233135.8372
MEM 266.421875 1706233135.9375
MEM 266.421875 1706233136.0427
MEM 266.421875 1706233136.1479
MEM 266.425781 1706233136.2530
MEM 266.425781 1706233136.3582
MEM 266.425781 1706233136.4634
MEM 266.425781 1706233136.5665
MEM 266.425781 1706233136.6949
MEM 266.425781 1706233136.7959
MEM 266.425781 1706233136.9032
MEM 266.425781 1706233137.0046
MEM 266.425781 1706233137.1049
MEM 266.425781 1706233137.2101
MEM 266.425781 1706233137.3142
MEM 266.425781 1706233137.4194
MEM 266.425781 1706233137.5237
MEM 266.425781 1706233137.6256
MEM 266.425781 1706233137.7308
MEM 266.425781 1706233137.8326
MEM 266.425781 1706233137.9372
MEM 266.425781 1706233138.0424
