CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/dqn/cartpole_dqn.py
MEM 291.847656 1706089533.4957
MEM 291.847656 1706089533.5965
MEM 291.890625 1706089533.7016
MEM 292.152344 1706089533.8066
MEM 292.179688 1706089533.9077
MEM 292.460938 1706089534.0115
MEM 292.593750 1706089534.1121
MEM 292.941406 1706089534.2140
MEM 293.269531 1706089534.3166
MEM 293.289062 1706089534.4192
MEM 293.621094 1706089534.5220
MEM 293.742188 1706089534.6257
MEM 293.777344 1706089534.7281
MEM 293.777344 1706089534.8300
MEM 293.824219 1706089534.9304
MEM 293.929688 1706089535.0344
MEM 293.929688 1706089535.1370
MEM 294.171875 1706089535.2375
MEM 294.441406 1706089535.3386
MEM 294.664062 1706089535.4391
MEM 295.171875 1706089535.5396
MEM 295.265625 1706089535.6417
MEM 295.617188 1706089535.7458
MEM 295.644531 1706089535.8504
MEM 295.945312 1706089535.9512
MEM 296.066406 1706089536.0571
MEM 296.074219 1706089536.1576
MEM 296.183594 1706089536.2624
MEM 296.171875 1706089536.3639
MEM 296.343750 1706089536.4643
MEM 296.343750 1706089536.5658
MEM 296.726562 1706089536.6690
MEM 296.953125 1706089536.7697
MEM 296.933594 1706089536.8715
MEM 297.183594 1706089536.9757
MEM 297.183594 1706089537.0784
MEM 297.460938 1706089537.1816
MEM 297.492188 1706089537.2835
MEM 298.058594 1706089537.3855
MEM 298.121094 1706089537.4910
MEM 298.156250 1706089537.5926
MEM 298.226562 1706089537.6975
MEM 298.195312 1706089537.8009
MEM 298.242188 1706089537.9019
MEM 298.503906 1706089538.0076
MEM 298.472656 1706089538.1087
MEM 298.515625 1706089538.2093
MEM 298.996094 1706089538.3114
MEM 299.175781 1706089538.4117
MEM 299.175781 1706089538.5129
MEM 299.578125 1706089538.6167
MEM 300.027344 1706089538.7174
MEM 300.062500 1706089538.8190
MEM 300.093750 1706089538.9233
MEM 300.093750 1706089539.0258
MEM 300.230469 1706089539.1293
MEM 300.332031 1706089539.2306
MEM 300.324219 1706089539.3327
MEM 300.328125 1706089539.4368
MEM 300.722656 1706089539.5421
MEM 300.726562 1706089539.6457
MEM 301.015625 1706089539.7509
MEM 301.105469 1706089539.8559
MEM 301.218750 1706089539.9582
MEM 301.535156 1706089540.0609
MEM 301.648438 1706089540.1622
MEM 302.257812 1706089540.2659
MEM 302.343750 1706089540.3697
MEM 302.312500 1706089540.4701
MEM 302.312500 1706089540.5753
MEM 302.312500 1706089540.6756
MEM 302.339844 1706089540.7772
MEM 302.339844 1706089540.8809
MEM 302.500000 1706089540.9861
MEM 302.652344 1706089541.0894
MEM 302.789062 1706089541.1911
MEM 303.257812 1706089541.2933
MEM 303.261719 1706089541.3938
MEM 303.574219 1706089541.4954
MEM 303.910156 1706089541.5991
MEM 303.976562 1706089541.7030
MEM 303.988281 1706089541.8064
MEM 304.101562 1706089541.9114
MEM 304.101562 1706089542.0119
MEM 304.500000 1706089542.1167
MEM 304.535156 1706089542.2178
MEM 304.664062 1706089542.3186
MEM 304.632812 1706089542.4198
MEM 304.632812 1706089542.5261
MEM 304.847656 1706089542.6287
MEM 304.828125 1706089542.7323
MEM 304.828125 1706089542.8330
MEM 304.828125 1706089542.9337
MEM 305.238281 1706089543.0353
MEM 305.238281 1706089543.1371
MEM 305.605469 1706089543.2398
MEM 305.605469 1706089543.3445
MEM 306.046875 1706089543.4458
MEM 306.171875 1706089543.5485
MEM 306.328125 1706089543.6505
MEM 306.281250 1706089543.7517
MEM 306.386719 1706089543.8563
MEM 306.496094 1706089543.9626
MEM 306.789062 1706089544.0653
MEM 307.019531 1706089544.1662
MEM 307.019531 1706089544.2691
MEM 307.343750 1706089544.3728
MEM 307.519531 1706089544.4769
MEM 307.519531 1706089544.5836
MEM 307.562500 1706089544.6886
MEM 307.902344 1706089544.7916
MEM 307.921875 1706089544.8933
MEM 307.890625 1706089544.9948
MEM 307.917969 1706089545.0970
MEM 308.289062 1706089545.2022
MEM 308.417969 1706089545.3063
MEM 308.417969 1706089545.4091
MEM 308.460938 1706089545.5113
MEM 308.460938 1706089545.6118
MEM 308.460938 1706089545.7131
MEM 308.558594 1706089545.8183
MEM 308.562500 1706089545.9189
MEM 308.785156 1706089546.0210
MEM 308.824219 1706089546.1260
MEM 308.824219 1706089546.2264
MEM 308.851562 1706089546.3287
MEM 309.187500 1706089546.4346
MEM 309.250000 1706089546.5356
MEM 309.644531 1706089546.6360
MEM 309.644531 1706089546.7365
MEM 310.031250 1706089546.8371
MEM 310.316406 1706089546.9417
MEM 310.386719 1706089547.0472
MEM 310.386719 1706089547.1511
MEM 310.484375 1706089547.2518
MEM 310.597656 1706089547.3565
MEM 310.632812 1706089547.4575
MEM 310.867188 1706089547.5588
MEM 310.964844 1706089547.6599
MEM 311.144531 1706089547.7609
MEM 311.167969 1706089547.8649
MEM 311.792969 1706089547.9705
